Crop,Temperature,Moisture Content,Pesticide,Light,Oxygen,Spoilage Risk
2,37.27,6.26,1,0,3.82,27
2,24.18,4.32,1,1,1.35,22
1,19.72,7.26,1,0,3.4,26
0,17.87,14.91,1,1,4.91,32
1,29.99,13.11,1,2,4.97,41
2,25.6,6.74,0,0,3.91,32
1,26.62,4.96,0,0,2.31,40
1,36.89,17.25,1,2,4.86,50
1,28.42,3.78,1,0,1.44,31
2,8.46,13.43,1,1,7.7,31
0,11.61,19.95,0,2,4.47,46
2,25.95,6.92,1,0,3.26,23
0,30.95,11.27,0,2,3.17,47
2,1.77,18.05,1,1,7.35,40
1,36.2,7.38,1,1,3.97,39
2,21.27,6.59,1,1,5.15,26
2,8.35,8.25,0,1,6.4,37
0,31.24,14.37,1,2,2.63,42
2,20.77,9.08,0,2,6.44,39
2,3.37,14.13,0,2,7.69,44
2,17.49,15.41,1,2,4.95,30
0,28.23,10.78,0,0,0.54,37
0,8.84,15.48,1,0,6.48,31
0,18.83,5.87,1,0,0.87,23
2,30.71,16.61,0,1,2.32,42
0,6.51,6.97,0,1,7.71,39
2,21.24,8.7,1,2,6.1,30
2,38.94,17.89,0,0,0.51,39
2,27.14,7.98,1,0,4.51,23
2,17.56,5.86,0,2,1.38,35
1,14.74,18.04,0,1,1.11,47
2,31.9,7.06,0,0,4.05,32
2,15.09,13.13,1,1,6.85,29
1,10.78,6.07,1,0,1.24,23
1,12.98,15.64,1,1,3.57,30
0,5.23,18.28,1,1,3.93,34
2,12.46,18.37,0,1,1.46,45
1,5.12,11.01,0,1,5.47,39
0,22.31,15.0,0,0,3.54,37
2,8.23,5.79,1,1,3.69,24
1,13.05,6.69,1,0,7.16,27
2,16.15,11.47,1,1,5.23,26
1,4.79,3.01,1,1,7.57,30
2,8.61,7.13,0,1,6.77,37
2,0.95,18.68,0,2,0.99,45
0,4.02,15.65,0,1,6.7,42
1,4.65,10.23,1,0,7.36,27
0,34.46,4.84,0,2,2.67,47
1,20.49,12.64,1,1,3.41,30
2,21.45,3.79,0,1,7.41,35
1,33.77,2.14,1,1,1.01,34
0,26.69,10.96,1,0,3.44,32
2,8.2,15.71,1,2,1.41,32
0,36.92,19.36,1,1,7.85,48
1,26.34,3.25,0,2,2.57,47
0,20.58,17.6,0,2,1.53,49
1,17.09,18.34,0,1,7.49,54
1,16.79,17.05,1,2,2.57,40
0,37.38,19.66,1,1,4.43,43
1,16.0,5.38,0,0,0.93,31
0,1.75,9.02,0,0,0.51,28
1,8.33,17.08,0,2,0.88,42
0,3.74,10.29,0,2,6.98,43
2,18.71,18.59,0,1,3.46,43
1,8.65,6.5,0,0,6.78,36
2,16.17,11.26,1,1,1.2,22
1,31.54,11.59,0,2,3.52,47
0,35.54,12.99,0,2,3.74,47
1,16.23,15.17,0,0,3.27,39
1,26.03,19.18,0,0,5.44,56
0,21.87,16.77,0,1,4.18,45
0,27.14,17.35,1,2,4.62,47
1,3.69,8.19,1,2,2.23,30
0,11.21,18.25,0,2,0.87,43
2,39.5,15.84,0,0,5.9,44
2,26.71,12.77,0,1,6.15,40
1,29.9,13.44,0,1,5.84,50
0,8.72,16.89,1,0,7.55,36
2,2.16,5.1,1,1,2.13,24
0,24.86,4.13,0,0,1.36,34
2,27.79,3.43,0,1,0.56,31
1,30.34,8.75,0,0,4.24,40
0,14.74,9.4,1,1,1.12,26
1,21.31,7.52,0,0,3.63,35
0,31.88,12.36,0,2,5.55,52
1,38.87,16.07,1,2,4.46,50
1,35.28,18.15,0,1,0.69,56
0,4.53,10.38,0,0,1.04,31
1,6.44,4.85,1,2,2.61,30
1,13.15,12.92,0,0,1.86,33
2,21.0,10.81,0,0,3.53,28
1,9.55,12.75,1,0,4.86,24
1,21.43,2.87,0,0,6.44,39
1,7.72,14.56,0,0,2.95,35
1,31.48,17.57,1,2,6.4,49
2,4.32,19.45,0,1,4.92,45
1,17.9,14.95,1,2,5.37,40
0,7.28,5.42,0,2,5.85,43
0,13.12,19.0,1,1,1.71,34
1,20.0,3.64,0,1,6.69,42
1,0.62,2.72,0,2,1.89,39
1,0.08,11.24,0,1,0.65,31
1,22.15,8.58,1,1,6.67,33
2,11.98,3.62,0,1,5.51,37
2,2.96,7.87,1,0,2.99,21
1,10.36,16.8,0,0,6.8,43
0,11.97,5.32,0,2,2.94,38
1,21.23,14.38,1,1,0.84,28
0,27.91,5.25,0,1,4.71,43
0,19.24,14.68,1,0,3.75,29
0,3.44,16.95,1,2,6.15,43
1,23.45,17.81,0,0,5.85,46
0,15.84,17.78,1,1,1.49,37
1,0.53,12.88,1,0,4.18,24
1,7.9,18.9,0,2,0.87,47
1,25.03,3.85,1,2,6.74,42
2,22.67,8.82,0,2,1.27,35
0,0.38,19.52,1,2,7.66,43
0,25.55,2.83,0,0,3.47,40
1,14.79,13.25,1,1,1.65,29
2,33.96,14.2,1,1,7.28,33
1,6.96,10.64,1,1,5.94,30
0,10.52,8.55,0,1,2.56,34
0,11.47,10.53,1,2,5.45,35
1,38.0,11.0,0,2,3.15,52
0,25.34,9.11,0,0,7.63,45
1,35.12,12.24,0,0,6.76,50
1,13.65,15.08,1,0,3.75,27
1,30.72,18.58,1,2,1.71,50
2,7.67,13.14,0,0,7.95,37
1,31.37,19.7,1,2,2.61,50
2,27.33,8.1,1,2,8.0,34
2,11.72,10.85,1,1,4.24,24
0,33.26,10.32,0,2,7.66,52
2,27.85,9.55,1,0,2.71,23
1,3.36,19.56,0,0,3.69,44
2,25.09,4.9,1,0,0.62,19
2,3.87,7.81,0,0,1.74,30
2,23.31,17.39,0,2,5.51,46
2,36.69,3.11,0,0,1.87,36
2,26.12,3.69,0,2,4.43,39
0,19.6,4.7,0,0,6.51,39
0,4.5,16.05,0,1,7.83,47
1,28.03,2.39,0,2,7.3,51
2,14.27,15.65,1,2,6.0,36
1,29.73,17.31,0,2,3.82,54
2,18.33,18.56,0,1,5.67,47
1,2.65,8.68,0,1,4.79,35
1,37.04,4.74,1,0,2.8,36
2,31.26,16.91,0,2,2.37,46
2,22.98,18.47,0,2,4.44,47
2,21.82,3.25,1,2,2.04,26
0,24.51,10.53,0,2,2.85,41
1,35.1,18.77,1,1,0.98,47
2,25.58,10.99,0,1,5.25,39
0,20.07,19.01,1,0,5.46,39
1,31.26,12.95,0,2,3.58,48
1,17.3,12.05,0,1,5.26,43
1,22.38,18.21,1,1,1.51,41
2,33.02,8.7,1,1,2.45,26
2,24.44,3.78,0,1,4.8,31
0,24.18,19.56,0,1,1.61,45
2,29.85,11.38,1,2,2.95,30
0,35.75,18.34,1,0,1.77,40
1,32.48,3.37,0,2,4.37,47
2,22.3,17.16,0,2,6.72,46
0,27.7,16.86,1,2,7.91,52
1,29.67,7.18,1,2,2.83,38
1,28.88,12.39,0,2,3.87,48
0,22.5,3.63,0,2,3.35,41
0,34.07,10.5,1,2,5.63,44
1,11.63,6.97,1,0,1.5,23
1,38.78,18.58,0,2,4.31,64
1,3.6,8.03,0,0,0.6,28
2,3.33,7.84,0,0,4.74,30
1,16.47,5.99,0,1,5.35,42
0,33.18,3.28,1,2,5.64,44
1,28.59,4.54,0,1,1.33,43
0,35.56,3.56,0,0,3.04,40
0,0.89,13.91,0,0,6.35,36
1,2.23,18.35,1,1,3.99,38
2,21.67,4.27,0,2,7.63,39
2,4.53,8.56,0,2,3.42,37
2,29.11,16.45,0,1,2.81,42
2,24.52,17.63,1,0,5.7,30
0,7.94,16.43,1,0,7.0,36
1,1.65,7.44,0,1,7.96,39
1,25.04,19.83,0,2,2.42,59
0,22.64,12.2,1,0,6.27,31
0,12.45,16.89,0,2,4.81,46
1,12.47,2.59,0,0,3.61,32
2,16.85,2.35,1,2,2.96,26
1,29.4,12.49,0,1,4.21,44
1,21.41,6.59,0,0,3.0,35
2,10.01,18.45,0,0,4.01,42
0,36.1,2.17,0,0,3.33,40
2,17.16,15.6,0,1,6.69,39
2,12.13,15.48,0,2,1.39,41
1,37.35,5.09,0,0,3.03,45
1,26.47,7.58,1,1,3.3,34
0,10.85,12.87,0,2,6.62,43
2,3.37,5.99,0,0,2.62,30
1,9.83,2.28,0,2,7.45,43
0,38.52,9.93,0,1,3.45,43
1,19.66,7.45,0,2,6.07,46
0,6.33,3.67,1,0,4.64,23
2,13.7,12.51,1,0,1.43,22
0,38.54,2.58,1,0,6.12,37
0,12.83,3.7,1,0,3.08,23
1,7.22,2.25,1,0,6.86,27
1,34.71,18.63,1,0,1.28,43
0,25.79,6.18,0,1,3.72,43
0,12.78,12.17,0,1,3.12,34
1,39.62,8.94,1,2,4.56,43
1,13.19,8.28,0,2,5.9,43
2,1.03,3.51,0,2,7.12,41
0,39.56,4.68,0,0,1.23,40
2,39.2,18.4,1,2,6.26,50
1,32.94,2.69,1,2,4.81,38
1,27.71,14.26,0,1,5.27,50
1,33.04,16.77,0,2,5.27,58
0,10.68,13.11,0,2,2.92,38
2,20.73,10.03,1,1,1.62,22
2,17.4,14.31,0,1,4.09,34
2,9.56,16.43,0,1,7.91,44
2,10.54,8.0,0,0,7.81,34
2,6.27,3.36,1,0,4.09,21
2,35.46,14.25,0,2,7.72,50
2,10.52,19.57,0,2,7.05,53
1,37.94,11.9,0,0,5.4,49
0,24.35,16.91,1,1,5.55,42
1,4.38,4.01,1,2,1.88,30
2,32.41,9.45,0,0,2.72,32
1,34.06,14.35,1,0,0.77,30
1,10.02,16.6,1,0,3.74,30
0,24.16,17.21,1,1,4.71,37
2,7.32,16.8,0,2,3.09,44
2,20.69,2.64,0,1,2.54,31
2,14.5,15.43,0,2,3.53,41
2,5.79,16.59,0,1,0.76,36
1,36.48,17.54,1,1,1.08,46
0,15.83,6.39,1,1,5.99,34
1,29.12,6.62,0,0,2.47,40
0,24.37,4.94,0,0,4.06,34
2,4.8,6.75,0,0,6.78,34
1,26.02,16.57,1,0,0.88,34
1,19.28,9.19,0,1,2.48,38
1,25.73,15.35,1,1,1.37,38
1,26.23,6.49,0,0,1.13,40
2,8.04,11.13,0,0,0.92,26
0,28.97,16.6,0,2,4.47,55
1,11.36,14.86,0,1,4.93,38
1,9.51,2.37,0,1,5.5,39
2,4.23,12.0,0,1,4.06,34
0,2.91,18.87,0,2,3.17,46
2,23.19,15.02,1,0,2.21,23
2,14.27,7.09,1,2,4.91,28
1,7.97,9.86,0,2,1.14,39
2,16.59,15.29,1,0,2.63,23
2,10.88,8.53,0,1,4.76,33
